"id","name","dtp_stat","dtp_stat_filename","okato","iso","gost"
"1","Республика Адыгея ",NULL,"respublika-adygeia-adygeia","79","RU-AD ","RU-AD, RU-ADY"
"2","Республика Башкортостан ",NULL,"respublika-bashkortostan","80","RU-BA ","RU-BA, RU-BAS"
"3","Республика Бурятия ",NULL,"respublika-buriatiia","81","RU-BU ","RU-BU, RU-BUR"
"4","Республика Алтай ",NULL,"respublika-altai","84","RU-AL ","RU-AL, RU-ALI"
"5","Республика Дагестан ",NULL,"respublika-dagestan","82","RU-DA ","RU-DA, RU-DAG"
"6","Республика Ингушетия ",NULL,"respublika-ingushetiia","26","RU-IN ","RU-IN, RU-ING"
"7","Кабардино-Балкарская Республика ",NULL,"kabardino-balkarskaia-respublika","83","RU-KB ","RU-KB, RU-KAB"
"8","Республика Калмыкия ",NULL,"respublika-kalmykiia","85","RU-KL ","RU-KI, RU-KAI"
"9","Карачаево-Черкесская Республика ",NULL,"karachaevo-cherkesskaia-respublika","91","RU-KC ","RU-KK, RU-KAO"
"10","Республика Карелия ",NULL,"respublika-kareliia","86","RU-KR ","RU-KL, RU-KAR"
"11","Республика Коми ",NULL,"respublika-komi","87","RU-KO ","RU-KO, RU-KOM"
"12","Республика Марий Эл ",NULL,"respublika-marii-el","88","RU-ME ","RU-ME, RU-MAR"
"13","Республика Мордовия ",NULL,"respublika-mordoviia","89","RU-MO ","RU-MO, RU-MOR"
"14","Республика Саха (Якутия) ",NULL,"respublika-sakha-iakutiia","98","RU-SA ","RU-SA, RU-SAH"
"15","Республика Северная Осетия — Алания ",NULL,"respublika-severnaia-osetiia-alaniia","90","RU-SE ","RU-NO, RU-NOR"
"16","Республика Татарстан ",NULL,"respublika-tatarstan-tatarstan","92","RU-TA ","RU-TA, RU-TAT"
"17","Республика Тыва ",NULL,"respublika-tyva","93","RU-TY ","RU-TY, RU-TUV"
"18","Удмуртская Республика ",NULL,"udmurtskaia-respublika","94","RU-UD ","RU-UD, RU-UDM"
"19","Республика Хакасия ",NULL,"respublika-khakasiia","95","RU-KK ","RU-KN, RU-KHK"
"21","Чувашская Республика ",NULL,"chuvashskaia-respublika-chuvashiia","97","RU-CU ","RU-CU, RU-CHV"
"22","Алтайский край ",NULL,"altaiskii-krai","1","RU-ALT ","RU-ALT"
"23","Краснодарский край ",NULL,"krasnodarskii-krai","3","RU-KDA ","RU-KRA"
"24","Красноярский край ",NULL,"krasnoiarskii-krai","4","RU-KYA ","RU-KYA"
"25","Приморский край ",NULL,"primorskii-krai","5","RU-PRI ","RU-PRI"
"26","Ставропольский край ",NULL,"stavropolskii-krai","7","RU-STA ","RU-STA"
"27","Хабаровский край ",NULL,"khabarovskii-krai","8","RU-KHA ","RU-KHA"
"28","Амурская область ",NULL,"amurskaia-oblast","10","RU-AMU ","RU-AMU"
"29","Архангельская область ",NULL,"arkhangelskaia-oblast","11","RU-ARK ","RU-ARK"
"30","Астраханская область ",NULL,"astrakhanskaia-oblast","12","RU-AST ","RU-AST"
"31","Белгородская область ",NULL,"belgorodskaia-oblast","14","RU-BEL ","RU-BEL"
"32","Брянская область ",NULL,"brianskaia-oblast","15","RU-BRY ","RU-BRY"
"33","Владимирская область ",NULL,"vladimirskaia-oblast","17","RU-VLA ","RU-VLA"
"34","Волгоградская область ",NULL,"volgogradskaia-oblast","18","RU-VGG ","RU-VGG"
"35","Вологодская область ",NULL,"vologodskaia-oblast","19","RU-VLG ","RU-VLG"
"36","Воронежская область ",NULL,"voronezhskaia-oblast","20","RU-VOR ","RU-VOR"
"37","Ивановская область ",NULL,"ivanovskaia-oblast","24","RU-IVA ","RU-IVA"
"38","Иркутская область ",NULL,"irkutskaia-oblast","25","RU-IRK ","RU-IRK"
"39","Калининградская область ",NULL,"kaliningradskaia-oblast","27","RU-KGD ","RU-KAG"
"40","Калужская область ",NULL,"kaluzhskaia-oblast","29","RU-KLU ","RU-KAL"
"41","Камчатский край ",NULL,"kamchatskii-krai","30","RU-KAM ","RU-KAM"
"42","Кемеровская область ",NULL,"kemerovskaia-oblast-kuzbass","32","RU-KEM ","RU-KEM"
"43","Кировская область ",NULL,"kirovskaia-oblast","33","RU-KIR ","RU-KIR"
"44","Костромская область ",NULL,"kostromskaia-oblast","34","RU-KOS ","RU-KOS"
"45","Курганская область ",NULL,"kurganskaia-oblast","37","RU-KGN ","RU-KUG"
"46","Курская область ",NULL,"kurskaia-oblast","38","RU-KRS ","RU-KUR"
"47","Ленинградская область ",NULL,"leningradskaia-oblast","41","RU-LEN ","RU-LEN"
"48","Липецкая область ",NULL,"lipetskaia-oblast","42","RU-LIP ","RU-LIP"
"49","Магаданская область ",NULL,"magadanskaia-oblast","44","RU-MAG ","RU-MAG"
"50","Московская область ",NULL,"moskovskaia-oblast","46","RU-MOS ","RU-MOS"
"51","Мурманская область ",NULL,"murmanskaia-oblast","47","RU-MUR ","RU-MUR"
"52","Нижегородская область ",NULL,"nizhegorodskaia-oblast","22","RU-NIZ ","RU-NIZ"
"53","Новгородская область ",NULL,"novgorodskaia-oblast","49","RU-NGR ","RU-NGR"
"54","Новосибирская область ",NULL,"novosibirskaia-oblast","50","RU-NVS ","RU-NVS"
"55","Омская область ",NULL,"omskaia-oblast","52","RU-OMS ","RU-OMS"
"56","Оренбургская область ",NULL,"orenburgskaia-oblast","53","RU-ORE ","RU-ORE"
"57","Орловская область ",NULL,"orlovskaia-oblast","54","RU-ORL ","RU-ORL"
"58","Пензенская область ",NULL,"penzenskaia-oblast","56","RU-PNZ ","RU-PNZ"
"59","Пермский край ",NULL,"permskii-krai","57","RU-PER ","RU-PER"
"60","Псковская область ",NULL,"pskovskaia-oblast","58","RU-PSK ","RU-PSK"
"61","Ростовская область ",NULL,"rostovskaia-oblast","60","RU-ROS ","RU-ROS"
"62","Рязанская область ",NULL,"riazanskaia-oblast","61","RU-RYA ","RU-RYA"
"63","Самарская область ",NULL,"samarskaia-oblast","36","RU-SAM ","RU-SAM"
"64","Саратовская область ",NULL,"saratovskaia-oblast","63","RU-SAR ","RU-SAR"
"65","Сахалинская область ",NULL,"sakhalinskaia-oblast","64","RU-SAK ","RU-SAK"
"66","Свердловская область ",NULL,"sverdlovskaia-oblast","65","RU-SVE ","RU-SVE"
"67","Смоленская область ",NULL,"smolenskaia-oblast","66","RU-SMO ","RU-SMO"
"68","Тамбовская область ",NULL,"tambovskaia-oblast","68","RU-TAM ","RU-TAM"
"69","Тверская область ",NULL,"tverskaia-oblast","28","RU-TVE ","RU-TVE"
"70","Томская область ",NULL,"tomskaia-oblast","69","RU-TOM ","RU-TOM"
"71","Тульская область ",NULL,"tulskaia-oblast","70","RU-TUL ","RU-TUL"
"72","Тюменская область ",NULL,"tiumenskaia-oblast","71","RU-TYU ","RU-TYU"
"73","Ульяновская область ",NULL,"ulianovskaia-oblast","73","RU-ULY ","RU-ULY"
"74","Челябинская область ",NULL,"cheliabinskaia-oblast","75","RU-CHE ","RU-CHE"
"75","Забайкальский край ",NULL,"zabaikalskii-krai","76","RU-ZAB ","—"
"76","Ярославская область ",NULL,"iaroslavskaia-oblast","78","RU-YAR ","RU-YAR"
"77","Москва ",NULL,"moskva","45","RU-MOW ","RU-MS, RU-MOW"
"78","Санкт-Петербург ",NULL,"sankt-peterburg","40","RU-SPE ","RU-SP, RU-SPB"
"79","Еврейская автономная область ",NULL,"evreiskaia-avtonomnaia-oblast","99","RU-YEV ","RU-JEW"
"82","Республика Крым ",NULL,"respublika-krym","35","UA-43","—"
"83","Ненецкий автономный округ ",NULL,"nenetskii-avtonomnyi-okrug","111/118","RU-NEN ","RU-NEN"
"86","Ханты-Мансийский автономный округ — Югра ",NULL,"khanty-mansiiskii-avtonomnyi-okrug-iugra","71100/718 ","RU-KHM ","RU-KHM"
"87","Чукотский автономный округ ",NULL,"chukotskii-avtonomnyi-okrug","77","RU-CHU ","RU-CHU"
"89","Ямало-Ненецкий автономный округ ",NULL,"iamalo-nenetskii-avtonomnyi-okrug","71140/719","RU-YAN ","RU-YAN "
"92","Севастополь, Крым ",NULL,"sevastopol","67","UA-40 ","—"
"95","Чеченская Республика ",NULL,"chechenskaia-respublika","96","RU-CE ","RU-CE, RU-CHA"
